================ Training Loss (Fri Feb 27 02:32:31 2026) ================
[Rank 0] (epoch: 39, iters: 820, time: 0.078, data: 0.001) , D_A: 0.044, G_A: 0.284, cycle_A: 0.425, idt_A: 0.205, D_B: 0.056, G_B: 0.620, cycle_B: 0.703, idt_B: 0.118

[Rank 0] (epoch: 39, iters: 920, time: 0.077, data: 0.001) , D_A: 0.242, G_A: 0.221, cycle_A: 0.417, idt_A: 0.148, D_B: 0.142, G_B: 0.325, cycle_B: 0.506, idt_B: 0.165

[Rank 0] (epoch: 39, iters: 1020, time: 0.075, data: 0.001) , D_A: 0.090, G_A: 0.221, cycle_A: 0.610, idt_A: 0.215, D_B: 0.187, G_B: 0.434, cycle_B: 0.691, idt_B: 0.147

[Rank 0] (epoch: 39, iters: 1120, time: 0.076, data: 0.002) , D_A: 0.061, G_A: 0.193, cycle_A: 0.382, idt_A: 0.208, D_B: 0.143, G_B: 0.104, cycle_B: 0.665, idt_B: 0.133

[Rank 0] (epoch: 40, iters: 100, time: 0.075, data: 0.137) , D_A: 0.330, G_A: 0.888, cycle_A: 0.387, idt_A: 0.179, D_B: 0.261, G_B: 0.159, cycle_B: 0.531, idt_B: 0.139

[Rank 0] (epoch: 40, iters: 200, time: 0.075, data: 0.002) , D_A: 0.036, G_A: 0.689, cycle_A: 0.380, idt_A: 0.281, D_B: 0.214, G_B: 0.237, cycle_B: 0.868, idt_B: 0.145

[Rank 0] (epoch: 40, iters: 300, time: 0.077, data: 0.001) , D_A: 0.066, G_A: 0.720, cycle_A: 0.350, idt_A: 0.275, D_B: 0.225, G_B: 0.635, cycle_B: 0.731, idt_B: 0.111

[Rank 0] (epoch: 40, iters: 400, time: 0.077, data: 0.001) , D_A: 0.110, G_A: 0.364, cycle_A: 0.492, idt_A: 0.193, D_B: 0.058, G_B: 0.384, cycle_B: 0.622, idt_B: 0.124

[Rank 0] (epoch: 40, iters: 500, time: 0.078, data: 0.001) , D_A: 0.234, G_A: 0.400, cycle_A: 0.376, idt_A: 0.172, D_B: 0.095, G_B: 0.506, cycle_B: 0.552, idt_B: 0.154

[Rank 0] (epoch: 40, iters: 600, time: 0.075, data: 0.001) , D_A: 0.209, G_A: 0.814, cycle_A: 0.613, idt_A: 0.163, D_B: 0.075, G_B: 0.505, cycle_B: 0.563, idt_B: 0.192

[Rank 0] (epoch: 40, iters: 700, time: 0.079, data: 0.002) , D_A: 0.047, G_A: 0.881, cycle_A: 0.673, idt_A: 0.307, D_B: 0.129, G_B: 0.572, cycle_B: 0.765, idt_B: 0.170

[Rank 0] (epoch: 40, iters: 800, time: 0.078, data: 0.001) , D_A: 0.222, G_A: 0.309, cycle_A: 0.362, idt_A: 0.178, D_B: 0.159, G_B: 0.237, cycle_B: 0.521, idt_B: 0.145

[Rank 0] (epoch: 40, iters: 900, time: 0.075, data: 0.002) , D_A: 0.053, G_A: 0.571, cycle_A: 0.359, idt_A: 0.127, D_B: 0.334, G_B: 0.135, cycle_B: 0.452, idt_B: 0.160

[Rank 0] (epoch: 40, iters: 1000, time: 0.076, data: 0.002) , D_A: 0.173, G_A: 0.628, cycle_A: 0.536, idt_A: 0.203, D_B: 0.225, G_B: 0.413, cycle_B: 0.546, idt_B: 0.166

[Rank 0] (epoch: 40, iters: 1100, time: 0.074, data: 0.001) , D_A: 0.102, G_A: 0.834, cycle_A: 0.376, idt_A: 0.216, D_B: 0.136, G_B: 0.501, cycle_B: 0.650, idt_B: 0.148

[Rank 0] (epoch: 41, iters: 80, time: 0.076, data: 0.002) , D_A: 0.039, G_A: 0.977, cycle_A: 0.672, idt_A: 0.241, D_B: 0.057, G_B: 0.440, cycle_B: 0.692, idt_B: 0.222

[Rank 0] (epoch: 41, iters: 180, time: 0.077, data: 0.001) , D_A: 0.133, G_A: 0.386, cycle_A: 0.717, idt_A: 0.165, D_B: 0.108, G_B: 0.609, cycle_B: 0.607, idt_B: 0.232

[Rank 0] (epoch: 41, iters: 280, time: 0.076, data: 0.002) , D_A: 0.121, G_A: 0.490, cycle_A: 0.426, idt_A: 0.271, D_B: 0.096, G_B: 0.468, cycle_B: 0.715, idt_B: 0.204

[Rank 0] (epoch: 41, iters: 380, time: 0.076, data: 0.002) , D_A: 0.199, G_A: 0.328, cycle_A: 0.597, idt_A: 0.200, D_B: 0.193, G_B: 0.471, cycle_B: 0.504, idt_B: 0.120

[Rank 0] (epoch: 41, iters: 480, time: 0.076, data: 0.002) , D_A: 0.249, G_A: 0.484, cycle_A: 0.625, idt_A: 0.209, D_B: 0.168, G_B: 0.217, cycle_B: 0.603, idt_B: 0.163

[Rank 0] (epoch: 41, iters: 580, time: 0.075, data: 0.001) , D_A: 0.138, G_A: 0.749, cycle_A: 0.686, idt_A: 0.254, D_B: 0.192, G_B: 0.276, cycle_B: 0.740, idt_B: 0.138

[Rank 0] (epoch: 41, iters: 680, time: 0.076, data: 0.001) , D_A: 0.143, G_A: 0.794, cycle_A: 0.394, idt_A: 0.288, D_B: 0.123, G_B: 0.327, cycle_B: 0.794, idt_B: 0.172

[Rank 0] (epoch: 41, iters: 780, time: 0.074, data: 0.002) , D_A: 0.074, G_A: 1.059, cycle_A: 0.370, idt_A: 0.258, D_B: 0.156, G_B: 0.294, cycle_B: 0.543, idt_B: 0.134

[Rank 0] (epoch: 41, iters: 880, time: 0.076, data: 0.002) , D_A: 0.071, G_A: 0.499, cycle_A: 0.570, idt_A: 0.242, D_B: 0.056, G_B: 0.652, cycle_B: 0.633, idt_B: 0.168

[Rank 0] (epoch: 41, iters: 980, time: 0.075, data: 0.002) , D_A: 0.153, G_A: 0.535, cycle_A: 0.473, idt_A: 0.239, D_B: 0.108, G_B: 0.348, cycle_B: 0.629, idt_B: 0.160

[Rank 0] (epoch: 41, iters: 1080, time: 0.075, data: 0.002) , D_A: 0.110, G_A: 0.400, cycle_A: 0.621, idt_A: 0.240, D_B: 0.123, G_B: 0.237, cycle_B: 0.890, idt_B: 0.317

[Rank 0] (epoch: 42, iters: 60, time: 0.075, data: 0.001) , D_A: 0.099, G_A: 0.596, cycle_A: 0.670, idt_A: 0.176, D_B: 0.087, G_B: 0.521, cycle_B: 0.818, idt_B: 0.258

[Rank 0] (epoch: 42, iters: 160, time: 0.075, data: 0.001) , D_A: 0.214, G_A: 0.400, cycle_A: 0.396, idt_A: 0.138, D_B: 0.135, G_B: 0.222, cycle_B: 0.529, idt_B: 0.172

[Rank 0] (epoch: 42, iters: 260, time: 0.074, data: 0.001) , D_A: 0.118, G_A: 0.682, cycle_A: 0.568, idt_A: 0.161, D_B: 0.074, G_B: 0.253, cycle_B: 0.597, idt_B: 0.198

[Rank 0] (epoch: 42, iters: 360, time: 0.074, data: 0.002) , D_A: 0.052, G_A: 0.410, cycle_A: 0.426, idt_A: 0.254, D_B: 0.057, G_B: 0.533, cycle_B: 0.879, idt_B: 0.134

[Rank 0] (epoch: 42, iters: 460, time: 0.076, data: 0.001) , D_A: 0.077, G_A: 0.327, cycle_A: 0.666, idt_A: 0.269, D_B: 0.235, G_B: 0.478, cycle_B: 0.732, idt_B: 0.165

[Rank 0] (epoch: 42, iters: 560, time: 0.075, data: 0.002) , D_A: 0.060, G_A: 0.444, cycle_A: 0.381, idt_A: 0.174, D_B: 0.116, G_B: 0.281, cycle_B: 0.502, idt_B: 0.139

[Rank 0] (epoch: 42, iters: 660, time: 0.076, data: 0.001) , D_A: 0.262, G_A: 0.665, cycle_A: 0.385, idt_A: 0.262, D_B: 0.199, G_B: 0.621, cycle_B: 0.787, idt_B: 0.141

