epoch,iteration,D_A,G_A,cycle_A,idt_A,D_B,G_B,cycle_B,idt_B
60,400,0.086,0.741,0.663,0.353,0.264,0.745,0.71,0.144
60,500,0.074,0.568,0.462,0.25,0.061,0.617,0.817,0.123
60,600,0.16,0.498,1.653,0.444,0.317,0.11,1.009,0.147
60,700,0.106,0.752,0.474,0.31,0.111,0.521,0.93,0.117
60,800,0.08,0.55,0.417,0.375,0.177,0.179,0.806,0.115
60,900,0.095,0.883,0.371,0.272,0.209,0.28,0.844,0.114
60,1000,0.131,0.523,0.667,0.165,0.167,0.434,0.527,0.178
60,1100,0.117,0.347,0.389,0.208,0.269,0.488,0.782,0.098
61,80,0.159,0.365,0.727,0.375,0.178,0.372,0.773,0.204
61,180,0.082,0.545,0.362,0.179,0.189,0.643,0.506,0.115
61,280,0.258,0.187,0.392,0.198,0.058,0.36,0.608,0.111
61,380,0.251,0.147,0.465,0.319,0.282,0.859,0.95,0.093
61,480,0.101,0.526,0.543,0.135,0.353,0.103,0.381,0.201
61,580,0.071,0.467,0.41,0.27,0.083,0.583,0.699,0.22
61,680,0.15,0.738,0.346,0.165,0.075,0.261,0.688,0.111
61,780,0.166,0.248,0.664,0.273,0.18,0.847,0.995,0.252
61,880,0.042,0.484,0.328,0.209,0.032,0.806,0.626,0.121
61,980,0.126,0.385,0.275,0.147,0.176,0.742,0.45,0.081
61,1080,0.157,0.855,0.358,0.159,0.119,0.717,0.477,0.112
62,60,0.214,0.252,0.616,0.184,0.115,0.867,0.753,0.187
62,160,0.079,0.476,0.294,0.262,0.226,0.306,0.72,0.172
62,260,0.256,0.27,0.374,0.227,0.157,1.057,0.755,0.126
62,360,0.267,0.872,0.454,0.194,0.207,0.277,0.727,0.135
62,460,0.139,0.156,0.386,0.208,0.039,0.271,0.625,0.14
62,560,0.099,0.351,0.643,0.199,0.131,0.476,0.576,0.225
62,660,0.059,0.385,0.448,0.219,0.069,0.795,0.592,0.126
62,760,0.291,0.698,0.419,0.221,0.171,0.358,0.679,0.119
62,860,0.179,0.43,0.347,0.156,0.281,0.121,0.501,0.108
62,960,0.044,0.477,0.627,0.182,0.155,0.705,0.637,0.147
62,1060,0.124,0.286,0.44,0.192,0.141,0.651,0.592,0.126
63,40,0.07,0.212,0.476,0.257,0.081,0.585,0.723,0.147
63,140,0.166,0.321,0.568,0.229,0.05,0.464,0.72,0.154
63,240,0.027,0.638,0.356,0.219,0.057,0.685,0.574,0.124
63,340,0.168,0.433,0.498,0.15,0.144,0.606,0.466,0.158
63,440,0.263,0.935,0.371,0.179,0.225,0.201,0.591,0.143
63,540,0.09,0.449,1.153,0.196,0.059,1.026,1.068,0.486
63,640,0.187,0.293,0.523,0.153,0.145,0.346,0.544,0.157
63,740,0.128,0.977,0.369,0.179,0.051,0.934,0.654,0.137
63,840,0.157,0.66,0.526,0.49,0.157,0.305,0.847,0.147
63,940,0.067,0.934,0.772,0.387,0.066,0.524,0.907,0.182
63,1040,0.066,0.234,0.445,0.298,0.103,0.415,0.683,0.132
64,20,0.102,0.799,0.347,0.231,0.176,0.34,0.658,0.128
64,120,0.034,0.921,0.378,0.234,0.141,0.168,0.663,0.121
